issue key,SAC_PM_ACTIVE
FPA34-8530,True
FPA34-8442,True
FPA34-8538,True
FPA34-8776,True
FPA34-8676,True
FPA34-8677,True
FPA34-8743,True
FPA34-8634,True
FPA34-8798,True
FPA34-8414,True
FPA34-8322,True
FPA34-8011,True
FPA34-8079,True
FPA34-8080,True
FPA34-8042,True
FPA34-7973,True
FPA34-7972,True
FPA34-8091,True
FPA34-8063,True
FPA34-7408,True
FPA34-7348,True
FPA34-7321,True
FPA34-7462,True
FPA34-7421,True
FPA34-7383,True
FPA34-7294,True
FPA34-7293,True
FPA34-7499,True
FPA34-7583,True
FPA34-7582,True
FPA34-7630,True
FPA34-7616,True
FPA34-7569,True
FPA34-7620,True
FPA34-7783,True
FPA34-8050,True
FPA34-7116,True
FPA34-6382,True
FPA34-6333,True
FPA34-6148,True
FPA34-5700,True
FPA34-5483,True
FPA34-5622,True
FPA34-5642,True
FPA34-5475,True
FPA34-5317,True
FPA34-5612,True
FPA34-6523,True
FPA34-6943,True
FPA34-6952,True
FPA34-6928,True
FPA34-7154,True
FPA34-6021,True
FPA34-3687,True
FPA34-3995,True
FPA34-3929,True
FPA34-3771,True
FPA34-587,True
FPA34-1154,True
FPA34-8802,True
FPA34-8531,True
FPA34-710,True
FPA34-7995,True
FPA34-27,True
FPA34-495,True
FPA34-8804,True
FPA34-8388,True
FPA34-8805,True
FPA34-8806,True
FPA34-4905,True
FPA34-5107,True
FPA34-3303,True
FPA34-3202,True
FPA34-3193,True
FPA34-3113,True
FPA34-4028,True
FPA34-4271,True
FPA34-4206,True
FPA34-2548,True
FPA34-2795,True
FPA34-7998,True
FPA34-5098,True
FPA34-4144,True
FPA34-4214,True
FPA34-2605,True
FPA34-1405,True
FPA34-1544,True
FPA34-2343,True
FPA34-2415,True
FPA34-1997,True
FPA34-1623,True
FPA34-1839,True
FPA34-1866,True
FPA34-1760,True
FPA34-210,True
FPA34-144,True
FPA34-7536,True
FPA34-6911,True
FPA34-8792,True
FPA34-1570,True
FPA34-8311,True
FPA34-7537,True
FPA34-7690,True
FPA34-8570,True
FPA34-8432,True
FPA34-8732,True
FPA34-8285,True
FPA34-7442,True
FPA34-7439,True
FPA34-7740,True
FPA34-7681,True
FPA34-7754,True
FPA34-7002,True
FPA34-6558,True
FPA34-6554,True
FPA34-6007,True
FPA34-6791,True
FPA34-4122,True
FPA34-4894,True
FPA34-2846,True
FPA34-1669,True
FPA34-150,True
FPA34-1754,True
FPA34-6495,True
FPA34-2078,True
FPA34-7934,True
FPA34-816,True
FPA34-7655,True
FPA34-6728,True
FPA34-2812,True
FPA34-8048,True
FPA34-7291,True
FPA34-6628,True
FPA34-6165,True
FPA34-6756,True
FPA34-6771,True
FPA34-3788,True
